"efo_id","disease_full_name","number_of_associations"
"Orphanet_284984","Aneurysm - osteoarthritis syndrome",15
"Orphanet_93560","Familial renal amyloidosis due to Apolipoprotein AI variant",2
"Orphanet_324713","Hereditary cerebral hemorrhage with amyloidosis, Italian type",1
"Orphanet_845","Tay-Sachs disease",41
"Orphanet_309185","Tay-Sachs disease, B variant, juvenile form",0
"Orphanet_309152","GM2 gangliosidosis",79
"Orphanet_289869","Disorder of ornithine metabolism",21
"Orphanet_79351","3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form",14
"Orphanet_268184","Thiamine-responsive maple syrup urine disease",11
"Orphanet_268173","Intermittent maple syrup urine disease",12
"Orphanet_2168","Homocarnosinosis",143
"Orphanet_79156","Seizures - intellectual disability due to hydroxylysinuria",2
"Orphanet_284818","Disorder of tyrosine metabolism",167
"Orphanet_3402","Transient tyrosinemia of the newborn",0
"Orphanet_289902","3-methylglutaconic aciduria",769
"Orphanet_298644","Disorder of thiamine metabolism and transport",363
"Orphanet_199326","Isolated autosomal dominant hypomagnesemia, Glaudemans type",0
"Orphanet_65682","Benign recurrent intrahepatic cholestasis",123
"MONDO_0060724","glycosylphosphatidylinositol biosynthesis defect 17",1
"MONDO_0029140","glycosylphosphatidylinositol biosynthesis defect 18",1
"MONDO_0002408","hereditary hyperbilirubinemia",261
"Orphanet_205","Crigler-Najjar syndrome",108
"Orphanet_79169","Disorder of neurotransmitter metabolism and transport",241
"Orphanet_79316","Phosphoenolpyruvate carboxykinase 1 deficiency",4
"MONDO_0018605","disorders of pentose/polyol metabolism",292
"Orphanet_2843","Pentosuria",92
"Orphanet_308487","Generalized galactose epimerase deficiency",1
"Orphanet_263487","COG5-CDG",15
"MONDO_0060720","congenital disorder of glycosylation with defective fucosylation",2
"Orphanet_397725","COASY protein-associated neurodegeneration",63
"Orphanet_760","Purine nucleoside phosphorylase deficiency",49
"EFO_1001926","pathological gambling",29
"Orphanet_178506","Brain calcification, Rajab type",1
"Orphanet_199354","CARASIL",29
"MONDO_0018792","Moyamoya syndrome",1668
"Orphanet_139583","X-linked hereditary sensory and autonomic neuropathy with deafness",2
"Orphanet_314381","Hereditary sensory and autonomic neuropathy type 6",17
"Orphanet_207018","Rare hereditary metabolic disease with peripheral neuropathy",4058
"Orphanet_158266","Huntington disease-like syndrome",715
"EFO_0004152","chorea",181
"Orphanet_100070","Progressive non-fluent aphasia",36
"Orphanet_1020","Early-onset autosomal dominant Alzheimer disease",99
"Orphanet_93955","Benign essential blepharospasm",13
"EFO_0004895","Tourette syndrome",234
"Orphanet_225154","Familial infantile bilateral striatal necrosis",118
"Orphanet_2379","Early-onset parkinsonism - intellectual disability",1
"MONDO_0018614","undetermined early-onset epileptic encephalopathy",6
"Orphanet_280763","Severe intellectual disability and progressive spastic paraplegia",101
"Orphanet_3061","X-linked intellectual disability, Raynaud type",0
"Orphanet_3056","X-linked intellectual disability, Brooks type",0
"Orphanet_324410","X-linked intellectual disability - cardiomegaly - congestive heart failure",165
"Orphanet_85277","X-linked intellectual disability, Cantagrel type",53
"Orphanet_99012","Autosomal recessive optic atrophy, OPA6 type",11
"Orphanet_83629","Leukoencephalopathy - metaphyseal chondrodysplasia",335
"Orphanet_100982","Autosomal recessive pure spastic paraplegia",131
"Orphanet_100981","Autosomal recessive complex spastic paraplegia",741
"Orphanet_209951","Autosomal recessive spastic paraplegia type 18",214
"Orphanet_320396","Autosomal recessive spastic paraplegia type 45",117
"Orphanet_401820","Autosomal recessive spastic paraplegia type 67",0
"Orphanet_100994","Autosomal dominant spastic paraplegia type 13",9
"Orphanet_139447","Progressive cavitating leukoencephalopathy",2
"Orphanet_391366","Growth retardation-mild developmental delay-chronic hepatitis syndrome",0
"Orphanet_93608","Autosomal dominant distal renal tubular acidosis",104
"Orphanet_156619","Rare genetic urogenital disease",3136
"MONDO_0014946","Sifrim-Hitz-Weiss syndrome",1
"EFO_0009080","x-linked ichthyosis with steryl-sulfatase deficiency",1
"Orphanet_183481","Genetic mixed dermis disorder",1080
"Orphanet_183441","Genetic acrokeratoderma",142
"MONDO_0018727","immunodeficiency due to a complement regulatory deficiency",247
"Orphanet_2621","Low birth weight - dwarfism - dysgammaglobulinemia",0
"Orphanet_169090","Combined immunodeficiency due to CRAC channel dysfunction",37
"Orphanet_280142","Severe combined immunodeficiency due to LCK deficiency",2
"Orphanet_169157","T-B+ severe combined immunodeficiency due to CD45 deficiency",241
"Orphanet_1260","Sino-auricular heart block",0
"MONDO_0018730","rare genetic venous malformation",191
"Orphanet_98602","Rare lacrimal system disease",1047
"Orphanet_98603","Secretory apparatus of the lacrimal system anomaly",653
"Orphanet_98570","Congenital ectropion",109
"Orphanet_98566","Syndromic palpebral coloboma",233
"MONDO_0000473","arterial disorder",9899
"EFO_1002032","primary hypertension",601
"MONDO_0001784","malignant renovascular hypertension",2
"Orphanet_98652","Lens size anomaly",121
"MONDO_0001641","severe pre-eclampsia",397
"EFO_1000013","Prinzmetal's angina",65
"EFO_1000985","intermediate coronary syndrome",485
"MONDO_0000831","thrombotic disease",1684
"EFO_0010178","non-lobar intracerebral hemorrhage",54
"EFO_0003875","peripheral vascular disease",1558
"EFO_1000935","female genital tuberculosis",4
"Orphanet_399805","Male infertility with azoospermia or oligozoospermia due to single gene mutation",690
"EFO_0009548","fallopian tube disease",289
"EFO_0000279","azoospermia",1335
"MONDO_0018555","hypogonadotropic hypogonadism",3503
"EFO_0009555","male reproductive system disease",10600
"MONDO_0000490","glomerulosclerosis",1571
"EFO_0004236","focal segmental glomerulosclerosis",1177
"MONDO_0002331","nephrosis",1140
"EFO_1001140","pyelitis",326
"EFO_1000794","acute kidney tubular necrosis",173
"EFO_0007249","emphysematous cholecystitis",0
"EFO_0004215","anorexia nervosa",313
"EFO_1001907","panic disorder without agoraphobia",5
"EFO_0005411","schizoaffective disorder",495
"EFO_0009965","Schizoaffective disorder-bipolar type",1
"EFO_0000249","Alzheimer's disease",6421
"EFO_0007436","phencyclidine abuse",0
"EFO_0003756","autism spectrum disorder",3037
"EFO_0003757","Asperger syndrome",222
"MONDO_0024361","circadian rhythm sleep disorder",20
"MONDO_0002050","depressive disorder",4604
"EFO_0009964","bipolar II disoder",0
"MONDO_0002494","substance-related disorder",6119
"EFO_1001345","Hepatitis, Alcoholic",223
"EFO_1001068","obstructive jaundice",173
"MONDO_0004789","cholangitis",2747
"MONDO_0018242","autoimmune hypoparathyroidism (disease)",141
"EFO_0009491","adrenocortical insufficiency",297
"MONDO_0015128","primary adrenal insufficiency",1310
"MONDO_0000334","multinodular goiter",170
"MONDO_0001104","toxic diffuse goiter",1179
"MONDO_0017278","autoimmune polyendocrinopathy",339
"EFO_0009681","post term pregnancy",44
"EFO_1001440","Tuberculosis, Avian",1
"EFO_0009550","headache disorder",1970
"MONDO_0000166","encephalopathy, acute, infection-induced",10
"EFO_0000773","temporal lobe epilepsy",493
"MONDO_0000413","infancy electroclinical syndrome",583
"MONDO_0016399","amino acid or protein metabolism disease with epilepsy",555
"MONDO_0003081","thalamic disease",1223
"EFO_0005782","age-related hearing impairment",122
"MONDO_0016428","multiple sclerosis variant",399
"EFO_1000854","causalgia",18
"MONDO_0021718","polyneuritis",16
"MONDO_0016375","acquired peripheral movement disorder",162
"MONDO_0044993","sympathetic nervous system disease",1114
"MONDO_0100038","complex neurodevelopmental disorder",3850
"EFO_0003839","retinopathy",6881
"MONDO_0004580","retinal degeneration",5694
"EFO_1001028","macular holes",138
"MONDO_0002977","autoimmune disease of the nervous system",3981
"MONDO_0001595","choreatic disease",181
"EFO_0003046","heart transplant rejection",1
"EFO_0005880","lipid homeostasis",0
"GO_0055062","phosphate ion homeostasis",0
"GO_0009987","cellular process",32
"GO_1901293","nucleoside phosphate biosynthetic process",0
"GO_0009206","purine ribonucleoside triphosphate biosynthetic process",0
"GO_0009161","ribonucleoside monophosphate metabolic process",0
"GO_0044260","cellular macromolecule metabolic process",0
"GO_0036271","response to methylphenidate",0
"EFO_0007647","response to vancomycin",0
"EFO_0006327","response to sertraline",1
"EFO_0010152","response to phenylephrine",0
"GO_0061476","response to anticoagulant",81
"EFO_0009167","response to warfarin",0
"EFO_0005533","response to non-steroidal anti-inflammatory",3
"EFO_0007754","response to immunochemotherapy",0
"EFO_0007923","response to terbinafine",0
"EFO_0008397","response to disappointment",0
"GO_0006970","response to osmotic stress",0
"EFO_0005403","response to dietary potassium supplementation",12
"EFO_0009463","infarction",0
"EFO_0000544","infection",265
"EFO_0009708","metastasis",61
"EFO_0009462","granuloma",3
"GO_0050909","sensory perception of taste",44
"GO_1901135","carbohydrate derivative metabolic process",0
"HP_0002180","neurodegeneration",6
"EFO_0005300","word reading",0
"EFO_0004337","intelligence",3975
"GO_0007586","digestion",0
"EFO_0009834","respiratory process",0
"EFO_0007755","atopic march",148
"EFO_0006820","complicated disease course",2
"GO_0060454","positive regulation of gastric acid secretion",0
"GO_0060455","negative regulation of gastric acid secretion",0
"GO_0035813","regulation of renal sodium excretion",0
"GO_0090257","regulation of muscle system process",0
"GO_0010543","regulation of platelet activation",0
"GO_0040012","regulation of locomotion",0
"GO_0070094","positive regulation of glucagon secretion",0
"GO_0010876","lipid localization",0
"MONDO_0024458","disease of visual system",11787
"MONDO_0002970","ciliary body disease",9
"MONDO_0004751","disease of orbital part of eye adnexa",5
"EFO_0003146","symptomatic heart failure",195
"EFO_0009305","total glycated albumin",53
"EFO_0008376","mosquito bite measurement",593
"EFO_0005128","albumin:globulin ratio measurement",769
"EFO_0005192","red blood cell distribution width",7365
"EFO_0009213","Hemoglobin B Measurement",0
"EFO_0007989","monocyte percentage of leukocytes",3642
"EFO_0010106","CD3-positive T-lymphocyte count",0
"EFO_0009247","Ovalocyte Count",0
"EFO_0009250","Prorubricyte Count",0
"EFO_0008542","complement C3d subcomponent measurement",0
"EFO_0007946","tiredness measurement",295
"EFO_0004804","birth rate",0
"EFO_0007863","illness severity status",0
"EFO_0007620","volumetric bone mineral density",35
"EFO_0007701","spine bone mineral density",349
"EFO_0009864","metabolic network measurement",0
"EFO_0009961","Insulinogenic index measurement",54
"EFO_0006955","ADAMTS13 activity measurement",30
"EFO_0008066","carbohydrate sulfotransferase 15 measurement",28
"EFO_0008232","methionine aminopeptidase 2 measurement",10
"EFO_0008161","insulin-like growth factor-binding protein 7 measurement",7
"EFO_0008226","MAP kinase-activated protein kinase 3 measurement",10
"EFO_0008134","ficolin-1 measurement",4
"EFO_0008085","Ck-beta-8-1 measurement",30
"EFO_0009414","CCL17 measurement",24
"EFO_0008088","collectin-11 measurement",8
"EFO_0008141","granulins measurement",29
"EFO_0008265","platelet-derived growth factor receptor beta measurement",17
"EFO_0008188","interleukin 6 receptor subunit beta measurement",6
"EFO_0008107","death-associated protein kinase 2 measurement",13
"EFO_0008178","interleukin 18 receptor 1 measurement",11
"EFO_0008131","fibronectin fragment 3 measurement",3
"EFO_0008209","leukocyte immunoglobulin-like receptor subfamily B member 2 measurement",37
"EFO_0006309","plasma plasminogen measurement",43
"EFO_0007677","LDL peak particle diameter measurement",0
"EFO_0006507","nicotine glucuronidation measurement",13
"EFO_0010537","taurochenodeoxycholate measurement",0
"EFO_0010480","fumarate measurement",0
"EFO_0010547","ursodeoxycholate measurement",0
"EFO_0010297","corpus callosum mid-anterior volume measurement",0
"EFO_0006932","putamen volume",42
"EFO_0010336","transverse temporal cortex volume measurement",0
"EFO_0007884","functional microbiome measurement",0
"EFO_0007753","seasonal gut microbiome measurement",4
"EFO_0009324","APOL1 risk genotype carrier status",78
"EFO_0007663","childhood aggressive behaviour measurement",4
"EFO_0009589","worry measurement",1172
"EFO_0009724","health satisfaction measurement",4
"EFO_0006946","behavioural disinhibition measurement",745
"EFO_0009268","family history of Alzheimer’s disease",630
"EFO_0007968","tissue factor pathway inhibitor measurement",0
"EFO_0010383","phosphatidylcholine 36:5 measurement",0
"EFO_0009185","heart rate response to recovery post exercise",219
"EFO_0007928","ventricular rate measurement",329
"EFO_0006825","trans/cis-18:2 fatty acid measurement",0
"EFO_0006348","pulmonary artery-aorta diameter ratio measurement",0
"EFO_0008435","gestational weight gain measurement",0
"EFO_0008404","susceptibility to mumps measurement",129
"EFO_0008406","susceptibility to plantar warts measurement",142
"EFO_0008403","susceptibility to mononucleosis measurement",61
"EFO_0008410","susceptibility to pneumonia measurement",120
"EFO_0008407","susceptibility to Mycobacterium tuberculosis infection measurement",154
"EFO_0010468","carboxylic acid measurement",0
"EFO_0007775","thrombin-antithrombin complex measurement",0
"EFO_0009933","Thyroid preparation use measurement",1480
"EFO_0006922","delivery measurement",0
"EFO_0007580","blood mercury measurement",10
"EFO_0007583","blood nickel measurement",0
"EFO_0007040","blood lead measurement",18
"EFO_0007584","blood zinc measurement",0
"EFO_0007776","prothrombin fragments F1+2 measurement",0
"EFO_0005275","dihydroxy docosatrienoic acid measurement",0
"EFO_0009703","red blood cell folate measurement",19
"EFO_0009693","thiopurine metabolite measurement",7
"EFO_0009357","Anti-rubella virus IgG measurement",39
"MONDO_0042982","GATA2 deficiency with susceptibility to MDS/AML",138
"EFO_1000310","Juvenile Polyp",32
"EFO_0009619","neuroma",123
"EFO_1000241","Endometrial Stromal Nodule",14
"MONDO_0016784","gestational trophoblastic disease",475
"EFO_1001443","Tuberculosis, Cutaneous",28
"EFO_1000166","Cervical Intraepithelial Neoplasia Grade 2/3",8
"EFO_1000592","Thyroid Gland Oncocytic Follicular Carcinoma",53
"EFO_0006890","fibrosis",5188
"EFO_1000590","Thyroid Gland Mucoepidermoid Carcinoma",2
"EFO_1000804","anal gland neoplasm",0
"Orphanet_52","Alagille syndrome",99
"Orphanet_99812","LIG4 syndrome",29
"Orphanet_96182","Silver-Russell syndrome due to maternal uniparental disomy of chromosome 7",0
"HP_0008527","Congenital sensorineural hearing impairment",33
"HP_0000666","Horizontal nystagmus",8
"HP_0009908","Anterior creases of earlobe",8
"HP_0001881","abnormal leukocyte morphology",562
"HP_0004936","Venous thrombosis",875
"EFO_0003907","deep vein thrombosis",609
"HP_0011974","Myelofibrosis",212
"HP_0003010","Prolonged bleeding time",72
"HP_0000079","Abnormality of the urinary system",1300
"HP_0012590","Abnormal urine output",14
"HP_0005750","Contractures of the joints of the lower limbs",8
"EFO_0009850","masculinization of female, CTCAE",4
"HP_0007034","Generalized hyperreflexia",1
"HP_0001315","Reduced tendon reflexes",8
"HP_0002066","Gait ataxia",67
"HP_0006915","Inability to walk by childhood/adolescence",2
"EFO_0005427","social communication impairment",14
"HP_0012075","personality disorder",191
"HP_0000817","Poor eye contact",4
"HP_0011342","Mild global developmental delay",1
"HP_0001328","Specific learning disability",18
"HP_0007333","Hypoplasia of the frontal lobes",0
"HP_0012675","iron accumulation in brain",4
"HP_0002167","Neurological speech impairment",118
"HP_0003401","Paresthesia",100
"EFO_0007983","asymptomatic neurocognitive impairment",24
"HP_0001256","Intellectual disability, mild",12
"HP_0000054","Micropenis",46
"HP_0003065","Patellar hypoplasia",3
"HP_0011451","Congenital microcephaly",38
"HP_0010313","breast hypertrophy",18
"HP_0002980","Femoral bowing",7
"HP_0006337","Premature eruption of permanent teeth",0
"HP_0000680","Delayed eruption of primary teeth",0
"EFO_1000714","impetigo",135
"EFO_0005757","vaginal inflammation",222
"EFO_0005752","eye inflammation",125
"EFO_0009875","thymus atrophy",137
"EFO_0010101","decreased susceptibility to hepatitis C infection",0
"HP_0001627","Abnormal heart morphology",252
"HP_0006695","Atrioventricular canal defect",60
"EFO_0004723","coronary artery calcification",616
"HP_0030897","Decreased intestinal transit time",0
"HP_0011458","Abdominal symptom",1186
"HP_0001082","Cholecystitis",696
"EFO_0009879","gastric hemorrhage",10
"HP_0000160","Narrow mouth",19
"HP_0004329","abnormal morphology of the posterior segment of the globe",21
"HP_0000268","Dolichocephaly",11
"MONDO_0002033","cecum cancer",680
"EFO_0006347","pulmonary artery enlargement",127
"EFO_0003901","dysuria",145
"EFO_0009954","post-operative delirium",57
"EFO_0007668","tragus size",0
"EFO_0007669","antitragus size",9
"EFO_0007670","helix rolling",16
